"Reference","Value","Qty","Footprint"
"BATT_1","Alkaline AA","1","Joule Thief Footprints:AA_Cell_Clip_V2"
"C1,C2,C7,C8,C9,C10","0.1u","6","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C3","100u","1","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"C4","10u","1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C5","1u","1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C6","4.7u","1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"D1","1N5817","1","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal"
"J_OUT1","Conn_01x06","1","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical"
"L1","10u","1","Joule Thief Footprints:Power_Inductor_101040"
"LITH1","18650","1","Joule Thief Footprints:18650_Cell_Clip_V2"
"R1,R6","0.1R","2","Joule Thief Footprints:R_Shunt_2512_V2"
"R2,R3,R7,R8","10","4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R4","1M","1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R5","220k","1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R9","100","1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R10","1k","1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"SW1","SW_DPDT_x2","1","Joule Thief Footprints:SS22F25_DPDT_Straight_V2"
"U1,U4","INA219AxD","2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U2","LTC3105xMS","1","Package_SO:MSOP-12_3x4.039mm_P0.65mm"
"U3","AD5280","1","Package_SO:TSSOP-14_4.4x5mm_P0.65mm"
"U5","DW01","1","Package_TO_SOT_SMD:SOT-23-6_Handsoldering"
"U7","FS8205A","1","Joule Thief Footprints:FS8205A_Wide"
